time,open,high,low,close,tick_volume,spread,real_volume
1655125200,103150.0,103355.0,102970.0,103185.0,285073,5,880259
1655127000,103185.0,103470.0,102855.0,102880.0,272686,5,845338
1655128800,102880.0,102925.0,102675.0,102805.0,220015,5,683910
1655130600,102805.0,103235.0,102745.0,103020.0,268998,5,855973
1655132400,103020.0,103030.0,102695.0,102765.0,242465,5,760155
1655134200,102765.0,103115.0,102560.0,102830.0,311416,5,996612
1655136000,102825.0,103050.0,102375.0,102405.0,377517,5,1186217
1655137800,102400.0,102610.0,102055.0,102555.0,373133,5,1179387
1655139600,102555.0,102840.0,102450.0,102510.0,170087,5,476204
1655141400,102515.0,102880.0,102505.0,102800.0,98194,5,251712
1655197200,103000.0,103400.0,102640.0,102655.0,388009,5,1032140
1655199000,102660.0,103090.0,102565.0,102715.0,468425,5,1351551
1655200800,102720.0,103355.0,102700.0,102860.0,569135,5,1638194
1655202600,102855.0,102970.0,102375.0,102880.0,663525,5,1925805
1655204400,102880.0,103030.0,101910.0,101920.0,505517,5,1536821
1655206200,101920.0,102260.0,101700.0,101985.0,421999,5,1312357
1655208000,101985.0,102415.0,101885.0,102325.0,281180,5,873961
1655209800,102330.0,102630.0,102160.0,102375.0,316450,5,957525
1655211600,102370.0,102380.0,102055.0,102160.0,273585,5,824407
1655213400,102160.0,102215.0,101895.0,102175.0,244413,5,748353
1655215200,102180.0,102650.0,102150.0,102295.0,276193,5,878070
1655217000,102295.0,102330.0,101890.0,101970.0,272203,5,866271
1655218800,101970.0,102195.0,101860.0,101995.0,288902,5,937192
1655220600,101995.0,102145.0,101505.0,101565.0,297033,5,993908
1655222400,101565.0,101905.0,101290.0,101840.0,310762,5,1068528
1655224200,101835.0,102230.0,101805.0,102225.0,299903,5,1002299
1655226000,102220.0,102225.0,101885.0,101975.0,121780,5,380476
1655227800,101975.0,102220.0,101905.0,102070.0,84837,5,241437
1655283600,104865.0,104880.0,104350.0,104535.0,259711,5,671292
1655285400,104540.0,105600.0,104525.0,105565.0,418001,5,1250875
1655287200,105560.0,105585.0,105025.0,105125.0,410485,5,1166952
1655289000,105120.0,105945.0,104905.0,105940.0,545526,5,1608627
1655290800,105940.0,105985.0,105585.0,105730.0,331042,5,1035849
1655292600,105730.0,105800.0,105165.0,105375.0,287528,5,945839
1655294400,105380.0,105410.0,105030.0,105075.0,221393,5,700206
1655296200,105075.0,105185.0,104900.0,105015.0,200690,5,643721
1655298000,105020.0,105145.0,104765.0,104940.0,202240,5,666764
1655299800,104945.0,105030.0,104385.0,104445.0,236429,5,815114
1655301600,104445.0,104930.0,104425.0,104845.0,184616,5,640951
1655303400,104845.0,105240.0,104625.0,105135.0,244423,5,799136
1655305200,105145.0,105480.0,104285.0,104530.0,668479,5,1605288
1655307000,104530.0,106140.0,103920.0,105305.0,821075,5,2430557
1655308800,105310.0,105770.0,105185.0,105725.0,386294,5,1142419
1655310600,105725.0,105835.0,104770.0,105010.0,310199,5,984886
1655312400,105010.0,105110.0,104765.0,104985.0,127367,5,382788
1655314200,104985.0,105195.0,104775.0,105140.0,66668,5,211488
1655456400,103070.0,103380.0,102885.0,103045.0,369678,5,912423
1655458200,103045.0,103235.0,102825.0,102990.0,295742,5,795607
1655460000,102990.0,103150.0,101790.0,101880.0,666483,5,1867260
1655461800,101885.0,102325.0,101530.0,102170.0,604583,5,1697071
1655463600,102175.0,102200.0,100845.0,100935.0,574452,5,1649998
1655465400,100930.0,100965.0,100315.0,100875.0,472503,5,1453291
1655467200,100875.0,101160.0,100685.0,101055.0,346993,5,1020198
1655469000,101055.0,101160.0,100730.0,100870.0,265180,5,812490
1655470800,100875.0,101010.0,100560.0,100980.0,280768,5,885035
1655472600,100985.0,101085.0,100765.0,100895.0,232930,5,717798
1655474400,100895.0,101160.0,100760.0,100805.0,239811,5,752361
1655476200,100810.0,100990.0,100360.0,100605.0,321793,5,1033820
1655478000,100605.0,101185.0,100550.0,101000.0,292579,5,963254
1655479800,101005.0,101555.0,100895.0,101300.0,318335,5,1041520
1655481600,101300.0,101970.0,101050.0,101925.0,307114,5,1032493
1655483400,101930.0,101965.0,101575.0,101600.0,268202,5,883989
1655485200,101605.0,101900.0,101575.0,101625.0,136513,5,421920
1655487000,101630.0,101690.0,101335.0,101335.0,65247,5,189412
1655715600,101455.0,101775.0,101050.0,101250.0,329349,5,858822
1655717400,101255.0,101600.0,101230.0,101335.0,307142,5,875648
1655719200,101340.0,101650.0,100605.0,100680.0,690949,5,1897387
1655721000,100685.0,100860.0,100175.0,100770.0,568841,5,1557703
1655722800,100765.0,100960.0,100535.0,100710.0,406033,5,1088301
1655724600,100710.0,101845.0,100455.0,101815.0,457426,5,1312980
1655726400,101815.0,102250.0,101740.0,102070.0,315215,5,928792
1655728200,102070.0,102215.0,101940.0,102125.0,193841,5,581528
1655730000,102120.0,102290.0,101910.0,102080.0,218976,5,673301
1655731800,102080.0,102185.0,101945.0,101955.0,150889,5,477415
1655733600,101950.0,102055.0,101755.0,101960.0,177682,5,523732
1655735400,101965.0,102140.0,101860.0,102020.0,184565,5,571327
1655737200,102020.0,102075.0,101870.0,102040.0,137830,5,432418
1655739000,102045.0,102050.0,101770.0,101820.0,144127,5,467141
1655740800,101820.0,101915.0,101630.0,101695.0,150896,5,483861
1655742600,101690.0,101800.0,101540.0,101715.0,155947,5,513698
1655744400,101710.0,101780.0,101555.0,101625.0,108731,5,397941
1655746200,101625.0,101810.0,101600.0,101750.0,49561,5,163107
1655802000,102500.0,102730.0,102380.0,102510.0,349180,5,947124
1655803800,102505.0,102570.0,102180.0,102310.0,310392,5,983518
