timeframe,datetime_raw_clock,datetime_utc_to_market,prev_datetime_raw_clock,minutes_since_prev,expected_minutes,open,prev_close,gap_points
M5,2023-12-26 09:00:00,2023-12-26 06:00:00,2023-12-22 18:20:00,5200.0,5,134760.0,134495.0,265.0
M5,2026-04-06 09:00:00,2026-04-06 06:00:00,2026-04-02 18:20:00,5200.0,5,189200.0,188660.0,540.0
M5,2023-01-02 09:00:00,2023-01-02 06:00:00,2022-12-29 18:20:00,5200.0,5,110400.0,111035.0,-635.0
M5,2024-11-18 09:00:00,2024-11-18 06:00:00,2024-11-14 18:20:00,5200.0,5,128850.0,128620.0,230.0
M5,2022-10-31 09:00:00,2022-10-31 06:00:00,2022-10-28 17:50:00,3790.0,5,113000.0,117045.0,-4045.0
M5,2023-04-03 09:00:00,2023-04-03 06:00:00,2023-03-31 17:50:00,3790.0,5,102240.0,101895.0,345.0
M5,2023-08-14 09:00:00,2023-08-14 06:00:00,2023-08-11 17:50:00,3790.0,5,118170.0,118290.0,-120.0
M5,2023-08-07 09:00:00,2023-08-07 06:00:00,2023-08-04 17:50:00,3790.0,5,120160.0,119880.0,280.0
M5,2023-09-18 09:00:00,2023-09-18 06:00:00,2023-09-15 17:50:00,3790.0,5,119750.0,119985.0,-235.0
M5,2023-05-08 09:00:00,2023-05-08 06:00:00,2023-05-05 17:50:00,3790.0,5,107100.0,106580.0,520.0
M5,2023-06-19 09:00:00,2023-06-19 06:00:00,2023-06-16 17:50:00,3790.0,5,121040.0,121075.0,-35.0
M5,2023-05-22 09:00:00,2023-05-22 06:00:00,2023-05-19 17:50:00,3790.0,5,111250.0,111450.0,-200.0
M5,2023-05-15 09:00:00,2023-05-15 06:00:00,2023-05-12 17:50:00,3790.0,5,110100.0,109650.0,450.0
M5,2023-03-27 09:00:00,2023-03-27 06:00:00,2023-03-24 17:50:00,3790.0,5,99955.0,99540.0,415.0
